employee_id,name,role,skills,experience_years,current_workload_percent
EMP0023,Employee_23,AI Engineer,APIs;VectorDB;React;Node.js;TensorFlow,12,87
EMP0024,Employee_24,AI Engineer,Pandas;PyTorch;LLM;Kubernetes;Docker,3,56
EMP0025,Employee_25,DevOps Engineer,Kubernetes;TensorFlow;LangChain;Python,7,34
EMP0026,Employee_26,Backend Developer,Pandas;SQL;LangChain,12,34
EMP0027,Employee_27,ML Engineer,VectorDB;Node.js;SQL;Docker;Kubernetes,9,24
EMP0028,Employee_28,DevOps Engineer,LangChain;LLM;RAG;React;Docker,12,78
EMP0029,Employee_29,Backend Developer,Pandas;APIs;SQL;LangChain,4,56
EMP0030,Employee_30,Backend Developer,PyTorch;Python;RAG;TensorFlow;Docker;VectorDB,9,27
EMP0031,Employee_31,AI Engineer,SQL;LangChain;Node.js;Docker;VectorDB;PyTorch,2,79
EMP0032,Employee_32,ML Engineer,Node.js;Pandas;Python,3,79
EMP0033,Employee_33,Data Engineer,TensorFlow;LangChain;Docker;RAG;Python,6,29
EMP0034,Employee_34,Backend Developer,SQL;React;Python;APIs,10,54
EMP0035,Employee_35,ML Engineer,Node.js;React;Kubernetes;LLM;RAG;VectorDB,4,74
EMP0036,Employee_36,DevOps Engineer,RAG;APIs;LangChain;TensorFlow,2,73
EMP0037,Employee_37,Backend Developer,PyTorch;LangChain;SQL;TensorFlow;Kubernetes;RAG,4,47
EMP0038,Employee_38,Data Scientist,PyTorch;React;VectorDB;Pandas;Docker;APIs,7,10
EMP0039,Employee_39,DevOps Engineer,PyTorch;LangChain;Python;Docker;LLM,6,12
EMP0040,Employee_40,AI Engineer,Docker;Python;React;SQL;TensorFlow;Node.js,6,38
EMP0041,Employee_41,Backend Developer,VectorDB;TensorFlow;SQL;Node.js,6,85
EMP0042,Employee_42,Data Scientist,Pandas;RAG;PyTorch;VectorDB;Python;SQL,7,69
EMP0043,Employee_43,AI Engineer,VectorDB;Node.js;Pandas;Docker;SQL;Python,8,50
EMP0044,Employee_44,Backend Developer,React;VectorDB;Pandas,5,81
EMP0045,Employee_45,Data Engineer,LLM;LangChain;PyTorch;Node.js;Docker;RAG,7,72
EMP0046,Employee_46,Backend Developer,Python;Docker;React;Pandas,5,65
EMP0047,Employee_47,Data Scientist,SQL;Pandas;Python,4,33
EMP0048,Employee_48,Data Engineer,Pandas;PyTorch;RAG;TensorFlow,12,39
EMP0049,Employee_49,ML Engineer,Kubernetes;PyTorch;Docker;LLM,4,83
EMP0050,Employee_50,Frontend Developer,RAG;APIs;VectorDB;Node.js,1,47
EMP0051,Employee_51,Backend Developer,Pandas;Node.js;TensorFlow,4,11
EMP0052,Employee_52,Data Scientist,Node.js;VectorDB;LangChain;TensorFlow;RAG,11,12
EMP0053,Employee_53,Data Scientist,PyTorch;LLM;Docker,7,39
EMP0054,Employee_54,Frontend Developer,Node.js;LLM;VectorDB;Python,10,37
EMP0055,Employee_55,Data Scientist,React;VectorDB;Pandas;Docker;Kubernetes,5,27
EMP0056,Employee_56,Frontend Developer,VectorDB;APIs;RAG;PyTorch,10,63
EMP0057,Employee_57,ML Engineer,Kubernetes;PyTorch;LLM,10,29
EMP0058,Employee_58,AI Engineer,Python;LangChain;TensorFlow,2,80
EMP0059,Employee_59,Data Scientist,React;SQL;Docker,1,86
EMP0060,Employee_60,Frontend Developer,React;TensorFlow;Kubernetes;VectorDB;Python;Docker,1,65
EMP0061,Employee_61,Data Scientist,TensorFlow;Kubernetes;VectorDB;APIs,10,41
EMP0062,Employee_62,ML Engineer,Pandas;SQL;Python;TensorFlow,1,86
EMP0063,Employee_63,Data Engineer,SQL;Python;Kubernetes;Node.js,12,15
EMP0064,Employee_64,Data Scientist,Pandas;Node.js;RAG,4,34
EMP0065,Employee_65,Data Scientist,APIs;Node.js;Docker;LangChain;Pandas;React,2,77
EMP0066,Employee_66,Data Scientist,RAG;TensorFlow;VectorDB;SQL;LLM;Kubernetes,12,24
EMP0067,Employee_67,DevOps Engineer,TensorFlow;LangChain;Docker,2,74
EMP0068,Employee_68,Data Scientist,VectorDB;APIs;LangChain;Kubernetes,8,56
EMP0069,Employee_69,DevOps Engineer,PyTorch;React;SQL;LLM;RAG,8,42
EMP0070,Employee_70,ML Engineer,LLM;Kubernetes;RAG;Node.js,11,37
EMP0071,Employee_71,Backend Developer,SQL;Pandas;Node.js;Docker;Python,3,41
EMP0072,Employee_72,Backend Developer,Pandas;TensorFlow;RAG,9,11
EMP0073,Employee_73,Frontend Developer,VectorDB;Docker;APIs;SQL,4,14
EMP0074,Employee_74,Frontend Developer,TensorFlow;LangChain;RAG;LLM;APIs,9,89
EMP0075,Employee_75,Data Scientist,PyTorch;Kubernetes;VectorDB;Node.js,5,37
EMP0076,Employee_76,ML Engineer,Docker;RAG;Pandas,6,82
EMP0077,Employee_77,DevOps Engineer,Kubernetes;Node.js;SQL,3,22
EMP0078,Employee_78,ML Engineer,SQL;Pandas;Node.js;PyTorch;TensorFlow;RAG,4,78
EMP0079,Employee_79,AI Engineer,VectorDB;SQL;Kubernetes,9,33
EMP0080,Employee_80,Backend Developer,PyTorch;LLM;Docker;SQL;Pandas;Kubernetes,3,47
EMP0081,Employee_81,Frontend Developer,Node.js;Pandas;APIs;LLM;VectorDB;Docker,8,73
EMP0082,Employee_82,ML Engineer,Python;RAG;TensorFlow;LLM;VectorDB;Docker,9,80
EMP0083,Employee_83,DevOps Engineer,PyTorch;VectorDB;LLM;TensorFlow,10,64
EMP0084,Employee_84,Data Scientist,Kubernetes;LangChain;VectorDB;React;RAG;SQL,8,23
EMP0085,Employee_85,AI Engineer,RAG;Python;Node.js;SQL;APIs,1,86
EMP0086,Employee_86,Frontend Developer,RAG;Pandas;Python;Docker,3,73
EMP0087,Employee_87,Backend Developer,Kubernetes;LLM;Python;RAG;Node.js;LangChain,6,24
EMP0088,Employee_88,Data Scientist,APIs;PyTorch;Pandas;Kubernetes;RAG;LangChain,12,32
EMP0089,Employee_89,DevOps Engineer,LLM;Node.js;APIs;Pandas;PyTorch;React,6,66
EMP0090,Employee_90,Data Scientist,VectorDB;RAG;SQL;Node.js;Python;React,3,50
EMP0091,Employee_91,Frontend Developer,RAG;LangChain;Docker;LLM;Python,11,42
EMP0092,Employee_92,Backend Developer,VectorDB;LangChain;LLM,7,82
EMP0093,Employee_93,DevOps Engineer,Pandas;RAG;React;APIs,3,46
EMP0094,Employee_94,ML Engineer,Kubernetes;Pandas;TensorFlow;LLM,5,43
EMP0095,Employee_95,Data Scientist,Kubernetes;RAG;Docker,8,61
EMP0096,Employee_96,Data Scientist,React;Pandas;Docker,3,66
EMP0097,Employee_97,ML Engineer,Pandas;SQL;Kubernetes;LangChain,7,56
EMP0098,Employee_98,Data Scientist,TensorFlow;APIs;Node.js;PyTorch;React,4,44
EMP0099,Employee_99,ML Engineer,VectorDB;PyTorch;LangChain;APIs,11,61
EMP0100,Employee_100,AI Engineer,LLM;PyTorch;RAG;LangChain,2,89
EMP0101,Employee_101,Data Scientist,Node.js;TensorFlow;APIs;PyTorch,7,47
EMP0102,Employee_102,Data Engineer,Python;React;LLM;SQL,3,35
EMP0103,Employee_103,DevOps Engineer,React;SQL;Python,7,58
EMP0104,Employee_104,Backend Developer,RAG;Kubernetes;VectorDB;LLM;Python,11,16
EMP0105,Employee_105,AI Engineer,LLM;LangChain;Docker;TensorFlow,7,20
EMP0106,Employee_106,AI Engineer,PyTorch;SQL;RAG;Kubernetes;Docker,7,52
EMP0107,Employee_107,Backend Developer,VectorDB;React;Kubernetes;TensorFlow;LLM,1,88
EMP0108,Employee_108,Data Engineer,RAG;TensorFlow;SQL,1,70
EMP0109,Employee_109,Backend Developer,Pandas;SQL;React;PyTorch;Docker;RAG,9,52
EMP0110,Employee_110,Data Scientist,LLM;Pandas;LangChain,4,31
EMP0111,Employee_111,AI Engineer,VectorDB;RAG;APIs;LangChain,5,13
EMP0112,Employee_112,Frontend Developer,PyTorch;Node.js;Docker,6,87
EMP0113,Employee_113,Backend Developer,SQL;APIs;React;Node.js,9,17
EMP0114,Employee_114,Data Engineer,SQL;LangChain;VectorDB,6,11
EMP0115,Employee_115,Frontend Developer,VectorDB;TensorFlow;React,8,77
EMP0116,Employee_116,Data Engineer,Pandas;APIs;VectorDB,3,52
EMP0117,Employee_117,Frontend Developer,VectorDB;Python;LLM;Kubernetes;APIs;Node.js,4,36
EMP0118,Employee_118,Data Engineer,PyTorch;VectorDB;LangChain;Kubernetes,6,22
EMP0119,Employee_119,ML Engineer,Python;APIs;LangChain;React;PyTorch,5,80
EMP0120,Employee_120,Data Scientist,TensorFlow;VectorDB;Node.js;React;Pandas,7,76
EMP0121,Employee_121,Backend Developer,PyTorch;LangChain;RAG;Kubernetes;APIs;React,1,44
EMP0122,Employee_122,Data Engineer,React;Docker;Kubernetes;LLM;Pandas;Node.js,3,48
EMP0123,Employee_123,DevOps Engineer,Python;Docker;PyTorch,12,40
EMP0124,Employee_124,Data Scientist,VectorDB;React;Kubernetes;Docker;Pandas;Python,7,81
EMP0125,Employee_125,Frontend Developer,RAG;PyTorch;React;Pandas,4,45
EMP0126,Employee_126,AI Engineer,PyTorch;Pandas;Docker,7,69
EMP0127,Employee_127,ML Engineer,SQL;LLM;Python;Docker;Node.js,12,51
EMP0128,Employee_128,Frontend Developer,Kubernetes;PyTorch;SQL;Python;RAG;React,4,31
EMP0129,Employee_129,AI Engineer,PyTorch;Node.js;VectorDB;LLM;Kubernetes;Docker,5,31
EMP0130,Employee_130,Backend Developer,Python;LangChain;Node.js;React;SQL,2,48
EMP0131,Employee_131,AI Engineer,VectorDB;APIs;Docker;Python;RAG;Pandas,8,22
EMP0132,Employee_132,Data Engineer,Kubernetes;TensorFlow;Pandas;Node.js;VectorDB,11,68
EMP0133,Employee_133,Data Engineer,APIs;VectorDB;Docker;Node.js,2,56
EMP0134,Employee_134,DevOps Engineer,React;Python;LLM;RAG;LangChain,1,71
EMP0135,Employee_135,ML Engineer,LLM;React;Node.js;SQL,4,48
EMP0136,Employee_136,AI Engineer,RAG;Kubernetes;PyTorch,12,70
EMP0137,Employee_137,Frontend Developer,React;SQL;Pandas;RAG;VectorDB,2,61
EMP0138,Employee_138,ML Engineer,TensorFlow;Node.js;LangChain;APIs,8,46
EMP0139,Employee_139,ML Engineer,Docker;VectorDB;APIs;React;Pandas;Kubernetes,10,75
EMP0140,Employee_140,DevOps Engineer,SQL;LLM;Python;TensorFlow,12,20
EMP0141,Employee_141,Backend Developer,Pandas;VectorDB;SQL;TensorFlow;LangChain,5,37
EMP0142,Employee_142,Data Engineer,React;VectorDB;Pandas;TensorFlow;Node.js;LLM,12,42
EMP0143,Employee_143,ML Engineer,Pandas;APIs;LangChain;Docker;TensorFlow,7,34
EMP0144,Employee_144,AI Engineer,TensorFlow;SQL;PyTorch;LLM;Kubernetes,5,67
EMP0145,Employee_145,AI Engineer,TensorFlow;LangChain;APIs;RAG;Python,11,53
EMP0146,Employee_146,Data Scientist,LLM;Python;VectorDB;RAG;PyTorch;SQL,7,67
EMP0147,Employee_147,AI Engineer,SQL;React;Node.js;LLM,4,68
EMP0148,Employee_148,DevOps Engineer,LLM;Kubernetes;VectorDB;APIs;Pandas,8,23
EMP0149,Employee_149,Data Scientist,APIs;Node.js;Docker;SQL;TensorFlow;RAG,7,41
EMP0150,Employee_150,Data Scientist,React;Kubernetes;VectorDB;Docker;SQL;RAG,10,79
EMP0151,Employee_151,DevOps Engineer,VectorDB;RAG;Kubernetes;TensorFlow;LangChain;LLM,12,39
EMP0152,Employee_152,Data Engineer,Kubernetes;VectorDB;LangChain,3,22
EMP0153,Employee_153,AI Engineer,Kubernetes;VectorDB;React;APIs;RAG,5,22
EMP0154,Employee_154,Data Scientist,Pandas;Kubernetes;PyTorch;React;TensorFlow,6,40
EMP0155,Employee_155,Data Scientist,PyTorch;Node.js;React,8,49
EMP0156,Employee_156,ML Engineer,PyTorch;Docker;Pandas;LLM;RAG;Kubernetes,1,40
EMP0157,Employee_157,Frontend Developer,Pandas;PyTorch;Python;LangChain;Node.js;VectorDB,1,56
EMP0158,Employee_158,DevOps Engineer,RAG;Pandas;LangChain;Node.js,3,66
EMP0159,Employee_159,AI Engineer,RAG;LLM;Docker;Kubernetes;APIs,3,52
EMP0160,Employee_160,Data Engineer,Pandas;Kubernetes;PyTorch;Node.js;Docker;RAG,2,32
EMP0161,Employee_161,ML Engineer,VectorDB;RAG;APIs;Kubernetes;LLM;Docker,11,37
EMP0162,Employee_162,Frontend Developer,RAG;Docker;APIs,4,65
EMP0163,Employee_163,ML Engineer,Kubernetes;SQL;LangChain,9,32
EMP0164,Employee_164,Backend Developer,TensorFlow;APIs;Pandas;Kubernetes;LLM;PyTorch,4,54
EMP0165,Employee_165,Backend Developer,RAG;React;PyTorch,9,47
EMP0166,Employee_166,Frontend Developer,LLM;APIs;React;SQL;VectorDB;Python,8,50
EMP0167,Employee_167,Backend Developer,React;RAG;PyTorch;Kubernetes;Docker,11,52
EMP0168,Employee_168,AI Engineer,Docker;TensorFlow;PyTorch;Kubernetes,3,63
EMP0169,Employee_169,Data Engineer,Node.js;PyTorch;Docker;LLM;Kubernetes,12,44
EMP0170,Employee_170,Backend Developer,PyTorch;React;Pandas,3,50
EMP0171,Employee_171,Frontend Developer,Node.js;Python;APIs;Pandas;SQL;Docker,12,11
EMP0172,Employee_172,Data Engineer,PyTorch;Node.js;React;Docker,2,49
EMP0173,Employee_173,Frontend Developer,RAG;Python;SQL;PyTorch;Kubernetes,6,69
EMP0174,Employee_174,Frontend Developer,Docker;VectorDB;React;LangChain;Kubernetes;Node.js,12,22
EMP0175,Employee_175,Backend Developer,SQL;Docker;APIs;LangChain,7,84
EMP0176,Employee_176,AI Engineer,LangChain;React;TensorFlow;Docker;SQL;APIs,1,45
EMP0177,Employee_177,Data Scientist,Node.js;Kubernetes;Python;PyTorch;LangChain;VectorDB,8,25
EMP0178,Employee_178,DevOps Engineer,VectorDB;RAG;TensorFlow,5,86
EMP0179,Employee_179,ML Engineer,LangChain;Kubernetes;Node.js;APIs;TensorFlow,2,82
EMP0180,Employee_180,ML Engineer,VectorDB;LangChain;RAG;LLM,4,23
EMP0181,Employee_181,Frontend Developer,VectorDB;React;SQL;Node.js,6,38
EMP0182,Employee_182,ML Engineer,PyTorch;Docker;APIs;TensorFlow,8,80
EMP0183,Employee_183,AI Engineer,RAG;PyTorch;Docker,7,62
EMP0184,Employee_184,AI Engineer,LLM;TensorFlow;React;LangChain;PyTorch,9,37
EMP0185,Employee_185,ML Engineer,React;LangChain;PyTorch;Node.js;RAG,1,74
EMP0186,Employee_186,Data Scientist,Node.js;LangChain;SQL;LLM,4,46
EMP0187,Employee_187,AI Engineer,TensorFlow;SQL;Node.js,4,34
EMP0188,Employee_188,ML Engineer,LangChain;React;PyTorch;Docker;TensorFlow;Node.js,12,48
EMP0189,Employee_189,DevOps Engineer,Node.js;APIs;SQL;LLM;Docker;Python,10,33
EMP0190,Employee_190,AI Engineer,LLM;RAG;SQL;Docker;APIs;Pandas,8,57
EMP0191,Employee_191,AI Engineer,LangChain;React;RAG;Pandas;Kubernetes,9,11
EMP0192,Employee_192,Data Scientist,Kubernetes;Pandas;PyTorch;Docker;LangChain;APIs,10,83
EMP0193,Employee_193,DevOps Engineer,SQL;APIs;TensorFlow,3,61
EMP0194,Employee_194,ML Engineer,LangChain;Node.js;RAG,1,46
EMP0195,Employee_195,Frontend Developer,RAG;Pandas;LLM;VectorDB;Python,3,84
EMP0196,Employee_196,AI Engineer,LangChain;React;TensorFlow;RAG,3,42
EMP0197,Employee_197,AI Engineer,RAG;Docker;Kubernetes;React;Python;LangChain,5,32
EMP0198,Employee_198,Data Scientist,Docker;VectorDB;APIs;LangChain;PyTorch,6,88
EMP0199,Employee_199,Data Engineer,Docker;Node.js;PyTorch,5,32
EMP0200,Employee_200,Data Engineer,Docker;Node.js;LangChain;APIs;LLM;PyTorch,5,85
EMP0201,Employee_201,Backend Developer,APIs;Docker;TensorFlow;Pandas,10,50
EMP0202,Employee_202,Data Engineer,SQL;TensorFlow;LangChain;Docker;LLM;Kubernetes,1,20
EMP0203,Employee_203,DevOps Engineer,VectorDB;Pandas;SQL;LLM,4,20
EMP0204,Employee_204,DevOps Engineer,TensorFlow;Kubernetes;VectorDB;RAG;SQL,7,63
EMP0205,Employee_205,Data Engineer,LangChain;RAG;Kubernetes,9,31
EMP0206,Employee_206,Backend Developer,SQL;RAG;Python;LLM;Node.js,10,33
EMP0207,Employee_207,Data Engineer,RAG;Python;PyTorch;Node.js;APIs,11,45
EMP0208,Employee_208,Data Scientist,Node.js;TensorFlow;LLM;RAG;Python;APIs,9,31
EMP0209,Employee_209,DevOps Engineer,Python;Node.js;APIs,5,22
EMP0210,Employee_210,Data Scientist,APIs;TensorFlow;Node.js,3,72
EMP0211,Employee_211,DevOps Engineer,TensorFlow;SQL;PyTorch,7,27
EMP0212,Employee_212,Backend Developer,APIs;VectorDB;RAG;Pandas,11,16
EMP0213,Employee_213,AI Engineer,Node.js;SQL;Kubernetes,2,89
EMP0214,Employee_214,Data Engineer,APIs;Kubernetes;Node.js;LLM;RAG,9,16
EMP0215,Employee_215,DevOps Engineer,Pandas;RAG;LangChain;APIs;Docker,8,30
EMP0216,Employee_216,Data Engineer,RAG;VectorDB;APIs;LangChain;SQL;LLM,6,30
EMP0217,Employee_217,DevOps Engineer,SQL;LangChain;VectorDB;TensorFlow,4,21
EMP0218,Employee_218,Backend Developer,PyTorch;Kubernetes;VectorDB;Docker,5,90
EMP0219,Employee_219,Data Engineer,SQL;VectorDB;Node.js;TensorFlow;PyTorch;Pandas,7,11
EMP0220,Employee_220,Data Engineer,LLM;Docker;Python;Node.js,9,83
EMP0221,Employee_221,AI Engineer,PyTorch;Python;Docker,8,18
EMP0222,Employee_222,AI Engineer,LLM;Python;RAG,11,51
EMP0223,Employee_223,DevOps Engineer,TensorFlow;LangChain;Node.js,7,33
EMP0224,Employee_224,Data Engineer,RAG;PyTorch;APIs;Pandas,8,21
EMP0225,Employee_225,AI Engineer,APIs;Python;Node.js;Docker;PyTorch,6,18
EMP0226,Employee_226,DevOps Engineer,LangChain;SQL;TensorFlow;RAG,2,83
EMP0227,Employee_227,Backend Developer,Pandas;LLM;APIs;Kubernetes;Python,2,58
EMP0228,Employee_228,Backend Developer,TensorFlow;APIs;VectorDB;Python;Kubernetes,6,62
EMP0229,Employee_229,Data Scientist,APIs;PyTorch;React;SQL,4,65
EMP0230,Employee_230,AI Engineer,LLM;Docker;PyTorch;Kubernetes;APIs;React,10,72
EMP0231,Employee_231,Backend Developer,SQL;Docker;Kubernetes,8,62
EMP0232,Employee_232,Backend Developer,React;PyTorch;APIs;VectorDB;RAG;TensorFlow,7,78
EMP0233,Employee_233,ML Engineer,React;LLM;Node.js,9,81
EMP0234,Employee_234,Data Scientist,SQL;Pandas;React,6,53
EMP0235,Employee_235,Backend Developer,RAG;TensorFlow;PyTorch;Pandas,6,41
EMP0236,Employee_236,Frontend Developer,RAG;Pandas;React,9,12
EMP0237,Employee_237,AI Engineer,RAG;Kubernetes;LLM,3,48
EMP0238,Employee_238,DevOps Engineer,Node.js;VectorDB;PyTorch;React;APIs;TensorFlow,6,89
EMP0239,Employee_239,Data Scientist,PyTorch;VectorDB;LLM,2,65
EMP0240,Employee_240,AI Engineer,SQL;APIs;PyTorch;LLM;Docker,2,34
EMP0241,Employee_241,Data Engineer,APIs;React;LLM;RAG;LangChain,12,61
EMP0242,Employee_242,AI Engineer,LLM;RAG;VectorDB,7,31
EMP0243,Employee_243,DevOps Engineer,LLM;RAG;React;Docker;APIs;Kubernetes,9,57
EMP0244,Employee_244,DevOps Engineer,Node.js;React;Docker,12,28
EMP0245,Employee_245,Data Scientist,VectorDB;Node.js;React;Kubernetes,3,68
EMP0246,Employee_246,DevOps Engineer,LLM;LangChain;VectorDB,1,21
EMP0247,Employee_247,DevOps Engineer,Python;Pandas;Docker;VectorDB;TensorFlow;LangChain,8,85
EMP0248,Employee_248,ML Engineer,LangChain;APIs;LLM;Node.js;RAG;Kubernetes,9,53
EMP0249,Employee_249,Backend Developer,Python;LLM;Docker;PyTorch,8,37
EMP0250,Employee_250,Data Scientist,Docker;PyTorch;SQL;RAG;LangChain,1,83
EMP0251,Employee_251,ML Engineer,LLM;VectorDB;Node.js,6,74
EMP0252,Employee_252,Frontend Developer,LLM;Node.js;TensorFlow;Python;PyTorch;RAG,1,17
EMP0253,Employee_253,AI Engineer,LLM;APIs;Python;Docker,3,13
EMP0254,Employee_254,Backend Developer,TensorFlow;Docker;RAG;VectorDB;Python,8,47
EMP0255,Employee_255,Frontend Developer,Python;Node.js;React;Kubernetes;Pandas,3,14
EMP0256,Employee_256,Data Engineer,RAG;LangChain;Python;Kubernetes;Docker,9,31
EMP0257,Employee_257,Data Engineer,React;PyTorch;Python;Docker;RAG;Pandas,7,72
EMP0258,Employee_258,Frontend Developer,LangChain;Node.js;Pandas;SQL;VectorDB;TensorFlow,10,36
EMP0259,Employee_259,AI Engineer,LLM;PyTorch;Python;LangChain;TensorFlow,9,79
EMP0260,Employee_260,ML Engineer,Python;VectorDB;PyTorch;React,3,18
EMP0261,Employee_261,Backend Developer,Docker;SQL;LLM;Node.js,12,90
EMP0262,Employee_262,Backend Developer,TensorFlow;Docker;Python;LangChain,3,51
EMP0263,Employee_263,Frontend Developer,Node.js;Kubernetes;RAG,7,44
EMP0264,Employee_264,Backend Developer,RAG;Kubernetes;VectorDB;TensorFlow;PyTorch;React,11,74
EMP0265,Employee_265,ML Engineer,TensorFlow;RAG;VectorDB;React;SQL,5,63
EMP0266,Employee_266,Frontend Developer,Kubernetes;Python;LangChain;Docker;PyTorch,9,12
EMP0267,Employee_267,AI Engineer,VectorDB;Kubernetes;RAG;React;TensorFlow,6,88
EMP0268,Employee_268,Data Scientist,Pandas;React;VectorDB;RAG;LangChain,12,56
EMP0269,Employee_269,Data Scientist,VectorDB;Pandas;PyTorch,7,59
EMP0270,Employee_270,Frontend Developer,React;Node.js;VectorDB;Python,12,24
EMP0271,Employee_271,Frontend Developer,APIs;Docker;PyTorch;SQL,10,20
EMP0272,Employee_272,Backend Developer,LangChain;Python;Pandas;VectorDB,11,26
EMP0273,Employee_273,ML Engineer,VectorDB;LangChain;Pandas;Node.js,3,84
EMP0274,Employee_274,Data Scientist,RAG;Kubernetes;LangChain;Docker,9,42
EMP0275,Employee_275,ML Engineer,React;VectorDB;Docker,12,16
EMP0276,Employee_276,Data Scientist,LLM;SQL;Pandas;Kubernetes;APIs;RAG,4,12
EMP0277,Employee_277,DevOps Engineer,APIs;LLM;TensorFlow;Node.js;Pandas,2,84
EMP0278,Employee_278,DevOps Engineer,TensorFlow;LangChain;APIs;Docker,6,40
EMP0279,Employee_279,ML Engineer,TensorFlow;VectorDB;APIs;PyTorch,7,24
EMP0280,Employee_280,DevOps Engineer,APIs;Docker;React,4,23
EMP0281,Employee_281,Backend Developer,Docker;LangChain;Node.js;VectorDB,11,20
EMP0282,Employee_282,Frontend Developer,Python;Docker;RAG;SQL;APIs,7,22
EMP0283,Employee_283,AI Engineer,LangChain;APIs;React,6,76
EMP0284,Employee_284,ML Engineer,PyTorch;Python;Kubernetes;RAG;LangChain,2,37
EMP0285,Employee_285,Data Engineer,LLM;Pandas;APIs;Node.js;VectorDB,2,62
EMP0286,Employee_286,Data Scientist,APIs;Kubernetes;LangChain,10,75
EMP0287,Employee_287,Data Scientist,SQL;Pandas;APIs;PyTorch,5,83
EMP0288,Employee_288,Backend Developer,React;Python;Kubernetes;Docker,8,40
EMP0289,Employee_289,Frontend Developer,Node.js;Pandas;Kubernetes;TensorFlow;APIs;Docker,3,79
EMP0290,Employee_290,Frontend Developer,TensorFlow;LangChain;Node.js;Pandas;VectorDB,1,81
EMP0291,Employee_291,DevOps Engineer,Docker;RAG;LangChain;Kubernetes;TensorFlow;SQL,8,90
EMP0292,Employee_292,Data Scientist,APIs;React;TensorFlow;VectorDB;Pandas,8,35
EMP0293,Employee_293,Backend Developer,SQL;LLM;TensorFlow,7,74
EMP0294,Employee_294,Backend Developer,SQL;Docker;PyTorch;Python,1,65
EMP0295,Employee_295,Frontend Developer,PyTorch;TensorFlow;Kubernetes;RAG;Pandas,1,39
EMP0296,Employee_296,Data Scientist,SQL;Kubernetes;PyTorch;React;Pandas,10,87
EMP0297,Employee_297,ML Engineer,LLM;RAG;TensorFlow;Docker;Pandas,3,23
EMP0298,Employee_298,ML Engineer,React;VectorDB;Kubernetes,3,73
EMP0299,Employee_299,Data Engineer,SQL;VectorDB;LangChain,4,39
EMP0300,Employee_300,Data Scientist,Node.js;LangChain;Python;PyTorch,5,13
EMP0301,Employee_301,Data Engineer,LLM;Node.js;APIs;Kubernetes;PyTorch;Pandas,11,72
EMP0302,Employee_302,AI Engineer,SQL;RAG;TensorFlow;LangChain;LLM,7,51
EMP0303,Employee_303,Data Engineer,VectorDB;Node.js;React;LLM;Docker,11,84
EMP0304,Employee_304,AI Engineer,RAG;VectorDB;Pandas;LLM;APIs;SQL,2,66
EMP0305,Employee_305,AI Engineer,RAG;TensorFlow;LLM;Node.js;Python;Pandas,2,18
EMP0306,Employee_306,AI Engineer,LLM;PyTorch;LangChain;Pandas,5,38
EMP0307,Employee_307,AI Engineer,Node.js;SQL;LangChain;VectorDB;PyTorch;Docker,5,71
EMP0308,Employee_308,Data Engineer,TensorFlow;LangChain;LLM;RAG,4,31
EMP0309,Employee_309,Data Scientist,Pandas;React;LLM;TensorFlow;LangChain,6,56
EMP0310,Employee_310,DevOps Engineer,Pandas;Kubernetes;LLM;React;RAG,12,75
